,5,10,20,40,80
99  -> 98  -> 102 -> 97  -> 104,1,1,1,1,1.0
102 -> 97  -> 98  -> 104 -> 103,2,2,2,2,2.0
97  -> 102 -> 98  -> 104 -> 103,3,3,3,3,4.0
99  -> 102 -> 97  -> 98  -> 104,4,4,4,4,3.0
98  -> 102 -> 97  -> 104 -> 103,5,5,5,5,5.0
102 -> 97  -> 104 -> 98  -> 96 ,6,6,6,6,6.0
102 -> 103 -> 104 -> 99  -> 100,7,7,7,7,11.0
99  -> 104 -> 100 -> 98  -> 105,8,8,8,8,8.0
97  -> 102 -> 104 -> 98  -> 96 ,9,9,9,9,9.0
102 -> 103 -> 99  -> 104 -> 100,10,10,11,10,
100 -> 99  -> 104 -> 98  -> 97 ,11,11,10,12,7.0
98  -> 102 -> 97  -> 105 -> 100,12,12,13,11,
98  -> 99  -> 102 -> 97  -> 104,13,13,12,13,12.0
99  -> 102 -> 97  -> 104 -> 98 ,14,14,14,14,10.0
102 -> 97  -> 104 -> 96  -> 98 ,15,15,15,16,
102 -> 97  -> 98  -> 104 -> 96 ,16,16,16,15,
99  -> 98  -> 102 -> 97  -> 105,17,17,17,17,
99  -> 102 -> 98  -> 97  -> 104,18,18,18,18,
